id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
1838,0.4714985548,female,12.0,w. sou. central,18.0,,35.0,,44.0,21.8,very satisfied,,,,,
1839,0.4714985548,male,14.0,w. sou. central,58.0,26287.5,40.0,,60.0,45.1,,agree,strongly disagree,disagree,disagree,agree
1840,0.4714985548,male,16.0,w. sou. central,85.0,22782.5,43.0,45.0,36.0,40.1,,agree,agree,disagree,disagree,disagree
1841,0.4714985548,male,12.0,w. sou. central,25.0,13143.75,49.0,47.0,45.0,45.4,very satisfied,agree,disagree,disagree,disagree,agree
1842,0.4714985548,female,16.0,w. sou. central,72.0,84120.0,52.0,,36.0,67.8,very satisfied,strongly agree,strongly disagree,disagree,strongly disagree,disagree
1843,0.4714985548,female,13.0,w. sou. central,70.0,4556.5,42.0,,47.0,59.9,,agree,disagree,disagree,disagree,agree
1844,0.4714985548,female,12.0,w. sou. central,62.0,16648.75,50.0,25.0,,38.3,very satisfied,strongly agree,disagree,disagree,disagree,disagree
1845,0.9429971097,male,19.0,w. sou. central,85.0,31545.0,59.0,26.0,21.0,75.5,,,,,,
1846,0.4714985548,female,15.0,w. sou. central,39.0,7886.25,48.0,24.0,,20.1,very satisfied,disagree,disagree,disagree,disagree,disagree
1847,0.4714985548,male,15.0,w. sou. central,68.0,31545.0,62.0,,40.0,50.4,mod. satisfied,,,,,
1848,0.9429971097,female,12.0,w. sou. central,64.0,19277.5,54.0,,39.0,62.9,mod. satisfied,disagree,,,agree,agree
1849,0.9429971097,male,12.0,w. sou. central,75.0,31545.0,49.0,,53.0,46.0,,,,,,
1850,1.414495664,male,7.0,w. sou. central,55.0,6309.0,45.0,,45.0,36.4,,agree,agree,disagree,disagree,disagree
1851,0.9429971097,male,12.0,w. sou. central,35.0,26287.5,40.0,24.0,38.0,42.2,very satisfied,strongly agree,disagree,disagree,strongly disagree,neither agree nor disagree
1852,0.4714985548,female,12.0,w. sou. central,24.0,2453.5,48.0,24.0,31.0,24.2,mod. satisfied,disagree,disagree,agree,disagree,disagree
1853,0.9429971097,male,12.0,w. sou. central,27.0,19277.5,37.0,21.0,28.0,18.6,mod. satisfied,,,,,
1854,0.9429971097,female,10.0,w. sou. central,28.0,70100.0,38.0,,38.0,25.7,mod. satisfied,disagree,disagree,agree,disagree,agree
1855,0.4714985548,male,18.0,w. sou. central,61.0,38555.0,51.0,64.0,49.0,63.7,,agree,disagree,disagree,disagree,neither agree nor disagree
1856,0.9429971097,female,13.0,w. sou. central,67.0,158201.8412,60.0,74.0,66.0,41.4,very satisfied,,,,,
1857,0.4714985548,male,10.0,w. sou. central,80.0,31545.0,42.0,35.0,,31.0,,disagree,agree,disagree,disagree,strongly agree
1858,0.4714985548,female,16.0,w. sou. central,86.0,47317.5,74.0,38.0,72.0,84.5,very satisfied,,,,,
1859,0.9429971097,female,12.0,w. sou. central,33.0,14896.25,21.0,21.0,33.0,14.0,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,strongly agree
1860,0.9429971097,female,18.0,w. sou. central,28.0,38555.0,61.0,47.0,35.0,80.9,mod. satisfied,,,,,
1861,0.9429971097,female,9.0,w. sou. central,30.0,5257.5,31.0,31.0,37.0,39.7,very dissatisfied,strongly agree,strongly disagree,disagree,disagree,strongly disagree
1862,0.4714985548,female,14.0,w. sou. central,23.0,1402.0,48.0,56.0,66.0,28.6,,,,,,
1863,0.9429971097,female,18.0,w. sou. central,45.0,57832.5,64.0,48.0,60.0,84.2,mod. satisfied,disagree,disagree,disagree,disagree,disagree
1864,0.4714985548,male,11.0,w. sou. central,77.0,98140.0,36.0,31.0,40.0,21.5,very satisfied,strongly agree,disagree,agree,disagree,disagree
1865,0.9429971097,female,11.0,w. sou. central,39.0,38555.0,39.0,,62.0,41.0,mod. satisfied,agree,disagree,disagree,agree,agree
1866,0.9429971097,male,14.0,w. sou. central,81.0,31545.0,38.0,31.0,40.0,43.0,,,,,,
1867,0.4714985548,female,9.0,w. sou. central,32.0,3154.5,28.0,21.0,,21.6,very satisfied,strongly disagree,strongly disagree,disagree,strongly agree,strongly agree
1868,0.9429971097,male,11.0,w. sou. central,34.0,47317.5,32.0,28.0,,36.7,very satisfied,,,,,
